Published Date,Outlet,Headline,Contextual Snippet,URL
2/12/2025,Verslo Idėjos ,Svarbus žingsnis: „EIKA Asset Management“ gavo licenciją veikti visoje Europos Sąjungoje,"...jų investicijos yra saugios ne mažiau nei kituose stiprios reputacijos vakarietiškuose fonduose“, – sako Andrius Uždavinys, „EIKA Asset Management“ vadovas.

Nuo 2016 m. veikianti „EIKA Asset Management“ šiuo metu valdo 7 fondus, kurių valdomo turto ...",https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/svarbus-zingsnis-eika-asset-management-gavo-licencija-veikti-visoje-europos-sajungoje/
2/12/2025,15min.lt,„EIKA Asset Management“ gavo licenciją veikti Europos Sąjungoje,,https://www.15min.lt/verslas/naujiena/bns-spaudos-centras/eika-asset-management-gavo-licencija-veikti-europos-sajungoje-501195
2/12/2025,BNS Spaudos centras,„Eika Asset Management“ gavo licenciją veikti Europos Sąjungoje,"...jų investicijos yra saugios ne mažiau nei kituose stiprios reputacijos vakarietiškuose fonduose“, – sako Andrius Uždavinys, „Eika Asset Management“ vadovas.

Nuo 2016 m. veikianti „EIKA Asset Management“ šiuo metu valdo 7 fondus, kurių valdomo turto ...",https://sc.bns.lt/view/item/eika-asset-management-gavo-licencija-veikti-europos-sajungoje-501194
2/11/2025,TV3 Lithuania,Vilniaus oro uosto lankytojai apstulbę – to išvysti naujutėlaičiame terminale nesitikėjo,"Išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai lapkritį Vilniaus oro uostas taip pat paskelbė arch...",https://www.tv3.lt/naujiena/lietuva/vilniaus-oro-uosto-lankytojai-apstulbe-to-isvysti-naujutelaiciame-terminale-nesitikejo-n1396961
2/11/2025,Verslo žinios,"Besiruošiančių dalyvauti Rūdninkų karinio miestelio konkurse yra, bet mato rizikų","Tai, jog dalyvaus konkurse, „BNS Plius“ patvirtino penkios nekilnojamojo turto (NT) plėtros bei statybų įmonės: „Eika“, „YIT Lietuva“, „Hanner“, „Conresta Group“, „Infes“.

Dar dviejų įmonių – „Darnu group“ bei „Merko statybos“ – atstovai sakė svarst...",http://ct.moreover.com/?a=55995730914&p=1lk&v=1&x=EhWbWwEqMxkr9E11zZDX0A
2/11/2025,Kauno diena,"Rūdninkų miestelio statybos: kuo mažiau laiko, tuo labiau brangsta?","...darbų kainą.

Tai, jog dalyvaus konkurse, BNS Plius patvirtino penkios nekilnojamojo turto (NT) plėtros bei statybų įmonės: „Eika“, „YIT Lietuva“, „Hanner“, „Conresta Group“, „Infes“.

Dar dviejų įmonių – „Darnu group“ bei „Merko statybos“ – atstovai...",https://kauno.diena.lt/naujienos/verslas/ekonomika/rudninku-miestelio-statybos-kuo-maziau-laiko-tuo-labiau-brangsta-1211599
2/11/2025,Diena,"Rūdninkų miestelio statybos: kuo mažiau laiko, tuo labiau brangsta?","...darbų kainą.

Tai, jog dalyvaus konkurse, BNS Plius patvirtino penkios nekilnojamojo turto (NT) plėtros bei statybų įmonės: „Eika“, „YIT Lietuva“, „Hanner“, „Conresta Group“, „Infes“.

Dar dviejų įmonių – „Darnu group“ bei „Merko statybos“ – atstovai...",https://diena.lt/naujienos/verslas/ekonomika/rudninku-miestelio-statybos-kuo-maziau-laiko-tuo-labiau-brangsta-1211599
2/11/2025,Klaipėda,"Rūdninkų miestelio statybos: kuo mažiau laiko, tuo labiau brangsta?","...darbų kainą.

Tai, jog dalyvaus konkurse, BNS Plius patvirtino penkios nekilnojamojo turto (NT) plėtros bei statybų įmonės: „Eika“, „YIT Lietuva“, „Hanner“, „Conresta Group“, „Infes“.

Dar dviejų įmonių – „Darnu group“ bei „Merko statybos“ – atstovai...",https://klaipeda.diena.lt/naujienos/verslas/ekonomika/rudninku-miestelio-statybos-kuo-maziau-laiko-tuo-labiau-brangsta-1211599
2/11/2025,BNS Lietuva,"Rinkos dalyviai: Rūdninkų konkurso išskaidymas – logiškas, bet pigiau gali nepavykti - BNS TEMA","...darbų kainą.

Tai, jog dalyvaus konkurse, BNS Plius patvirtino penkios nekilnojamojo turto (NT) plėtros bei statybų įmonės: „Eika“, „YIT Lietuva“, „Hanner“, „Conresta Group“, „Infes“.

Dar dviejų įmonių – „Darnu group“ bei „Merko statybos“ – atstovai...",http://ct.moreover.com/?a=55994711549&p=1lk&v=1&x=Ua_flNWUUQfhCaBMYFqUSg
2/11/2025,Lietuvos Nacionalinis Radijas ir Televizija (LRT),"Rinkos dalyviai: Rūdninkų konkurso išskaidymas – logiškas, bet pigiau gali nepavykti","...darbų kainą.

Tai, jog dalyvaus konkurse, BNS Plius patvirtino penkios nekilnojamojo turto (NT) plėtros bei statybų įmonės: „Eika“, „YIT Lietuva“, „Hanner“, „Conresta Group“, „Infes“.

Dar dviejų įmonių – „Darnu group“ bei „Merko statybos“ – atstovai...",https://www.lrt.lt/naujienos/verslas/4/2484595/rinkos-dalyviai-rudninku-konkurso-isskaidymas-logiskas-bet-pigiau-gali-nepavykti
